"D_DF1_sample-1" "D_DF1_sample-2" "D_DF1_sample-3" "D_DF1-I_sample-1" "D_DF1-I_sample-2" "D_DF1-I_sample-3" "D_DF1-P_sample-1" "D_DF1-P_sample-2" "D_DF1-P_sample-3" "D_DF1-P-I_sample-1" "D_DF1-P-I_sample-2" "D_DF1-P-I_sample-3" "D_DF1-PC_sample-1" "D_DF1-PC_sample-2" "D_DF1-PC_sample-3" "D_DF1-PC-I_sample-1" "D_DF1-PC-I_sample-2" "D_DF1-PC-I_sample-3"
"TBC1D2" 1 0 2 1 0 1 0 0 0 2 1 0 3 0 0 0 3 2
"TBC1D20" 3 4 7 3 8 5 5 2 15 5 8 7 8 7 6 4 9 22
"TBC1D22A" 1 4 2 14 16 12 2 0 3 2 2 1 4 2 2 3 3 11
"TBC1D22B" 151 201 155 53 52 69 70 85 81 96 87 84 97 92 147 66 60 80
"TBC1D23" 7 4 9 19 18 26 7 7 7 7 4 5 3 6 3 8 7 5
"TBC1D24" 2 1 8 5 8 2 4 0 0 0 0 2 6 6 6 3 3 8
"TBC1D24L" 13 20 18 15 12 13 8 11 8 5 10 8 0 0 1 0 0 0
"TBC1D2B" 18 24 21 24 35 48 8 14 18 6 20 11 10 6 14 15 11 26
"TBC1D30" 0 0 4 1 1 1 0 0 0 0 0 0 2 2 0 0 0 0
"TBC1D31" 0 0 2 4 3 0 0 9 2 2 1 4 0 1 6 3 1 3
"TBC1D32" 0 1 0 1 3 3 2 1 0 0 2 0 0 2 2 4 2 1
"TBC1D4" 0 3 0 1 0 0 1 2 2 0 1 0 0 0 0 0 0 1
"TBC1D5" 3 3 6 12 16 7 5 10 16 2 12 4 8 3 5 8 7 8
"TBC1D7" 1 2 4 0 0 0 1 0 1 1 2 3 0 0 0 0 2 0
"TBC1D8" 23 34 26 45 63 63 19 23 20 13 15 27 20 24 30 25 35 40
"TBC1D8B" 11 21 14 17 11 16 32 24 27 24 31 28 15 14 20 8 12 14
"TBC1D9" 0 3 3 7 10 2 1 9 2 4 0 7 3 0 2 1 2 4
"TBC1D9B" 3 5 9 112 149 125 4 2 6 4 6 7 3 3 5 16 14 17
"TBCA" 1 0 0 1 5 0 0 0 1 0 0 1 3 1 0 0 0 0
"TBCB" 1 2 5 10 13 9 11 10 4 5 7 9 2 3 3 3 5 6
"TBCC" 202 250 245 621 688 634 220 251 262 212 263 258 290 294 367 194 202 239
"TBCCD1" 1 1 5 1 4 5 3 0 0 0 1 0 4 4 0 1 2 2
"TBCD" 41 53 47 38 43 38 30 53 26 27 22 33 48 55 65 49 54 51
"TBCE" 118 192 153 64 75 77 341 196 310 310 345 350 164 156 153 145 157 154
"TBCEL" 3 0 1 0 0 0 3 1 0 4 1 2 7 2 1 1 2 0
"TBCK" 0 2 1 2 1 3 0 1 1 0 1 1 4 0 1 1 2 2
"TBK1" 6 19 12 16 32 40 6 3 13 8 11 15 6 10 13 11 15 20
"TBKBP1" 21 50 30 20 19 25 29 19 26 33 31 37 37 23 28 12 7 21
"TBL1X" 12 13 23 28 39 32 8 15 2 12 8 14 21 9 13 13 23 14
"TBL1XR1" 4 12 10 18 33 17 6 6 7 14 5 11 10 10 10 11 13 13
"TBL2" 37 14 25 30 40 24 35 21 28 19 37 35 21 24 23 25 33 36
"TBL3" 10 10 4 4 6 6 0 1 0 3 1 0 10 14 7 17 13 6
"TBP" 34 67 45 114 79 89 50 60 77 59 70 80 43 51 46 73 75 94
"TBPL1" 0 1 1 1 0 3 0 0 2 1 1 1 0 0 1 0 3 6
"TBPL2" 8 8 6 23 13 21 1 5 4 3 6 8 8 4 6 6 8 18
"TBR1" 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 2 0
"TBRG4" 26 25 22 40 25 18 8 11 14 11 17 7 17 38 41 30 24 26
"TBX1" 74 107 73 81 93 82 88 114 84 68 76 74 111 114 105 102 101 111
"TBX10" 21 17 15 16 20 18 25 27 29 21 28 29 7 6 15 6 11 10
"TBX15" 2 2 5 4 3 6 8 7 7 1 6 5 0 0 1 1 0 2
"TBX18" 0 1 2 0 2 0 1 1 0 0 0 2 2 5 4 1 0 1
"TBX19" 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TBX2" 4 2 6 7 7 10 5 2 5 3 6 5 1 4 1 2 9 17
"TBX20" 0 0 0 1 0 0 0 0 0 0 0 1 1 2 0 0 0 1
"TBX21" 1 2 2 5 4 2 1 1 1 0 0 1 0 0 0 0 0 1
"TBX22" 0 0 0 2 2 0 3 1 0 3 1 3 0 0 1 0 0 0
"TBX3" 3 2 5 11 8 6 3 1 4 3 5 4 2 0 1 7 0 5
"TBX4" 2 3 2 15 10 8 13 10 9 9 16 13 2 2 3 1 0 2
"TBX5" 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"TBX6" 693 1161 863 1352 1227 1394 1113 1253 1025 1263 1457 1484 849 989 812 1510 1649 1575
"TBXA2R" 1 3 3 7 10 12 1 0 0 1 0 0 0 1 1 0 0 1
"TBXAS1" 11 10 11 165 158 169 12 9 14 12 21 16 12 15 17 7 10 14
"TBXT" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"TC2N" 2 3 10 1 2 0 21 21 22 16 17 20 13 5 5 10 5 4
"TCAIM" 0 1 3 0 2 4 0 1 0 0 0 1 0 0 0 0 1 0
"TCAP" 0 0 1 5 0 1 0 0 0 0 0 0 0 0 1 0 0 0
"TCEA1" 2 3 1 2 3 3 1 1 3 0 1 0 1 2 4 1 1 3
"TCEA2" 1 1 2 1 0 4 2 1 0 1 0 1 1 3 3 0 2 1
"TCEA3" 0 0 2 3 2 3 1 0 0 0 0 0 0 0 0 0 1 0
"TCEANC2" 9 29 17 29 35 24 16 18 18 9 13 11 24 21 25 25 31 27
"TCEB1" 10 10 9 17 16 13 2 6 2 1 6 2 8 1 3 8 12 6
"TCEB3" 1 3 0 3 0 0 1 4 2 0 2 4 3 1 5 2 4 0
"TCERG1" 4 10 6 6 6 5 15 8 11 13 12 13 6 2 4 10 6 11
"TCERG1L" 0 0 1 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"TCF12" 39 78 68 50 45 49 53 61 62 56 76 84 87 103 86 61 66 66
"TCF15" 0 0 3 3 0 4 0 0 0 0 0 2 0 0 1 0 1 1
"TCF20" 3 2 2 8 3 10 9 4 2 1 3 4 4 5 7 4 5 3
"TCF21" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"TCF24" 67 70 52 26 31 38 47 50 58 56 51 40 46 34 53 49 56 54
"TCF25" 6 3 3 7 4 3 4 0 1 2 3 3 9 3 3 6 2 1
"TCF3" 24 31 38 23 28 26 30 21 15 15 28 26 29 57 29 28 27 44
"TCF4" 0 0 1 2 1 2 2 2 2 3 3 1 1 0 0 0 0 0
"TCF7" 70 99 84 49 49 37 94 113 69 67 70 84 109 103 129 52 47 65
"TCF7L1" 2 12 9 7 16 7 11 8 12 8 11 19 8 1 4 6 5 5
"TCF7L2" 0 6 8 11 2 6 1 1 1 1 0 1 2 0 0 0 1 0
"TCFL5" 1 4 1 106 128 122 1 2 3 2 0 0 2 0 1 2 2 2
"TCHP" 10 14 9 6 7 9 10 11 13 14 15 15 13 11 24 6 7 5
"TCIRG1" 0 0 2 2 1 2 1 0 3 0 1 6 0 0 2 2 0 3
"TCN2" 10 12 12 63 67 75 16 25 19 10 19 32 8 11 18 19 18 30
"TCOF1" 13 13 17 42 43 50 31 14 33 24 40 39 15 21 14 14 22 14
"TCP1" 140 215 144 41 59 71 73 59 72 60 77 68 137 130 142 136 108 117
"TCP10" 0 1 2 0 1 0 0 0 0 0 0 0 1 1 2 1 0 1
"TCP11" 91 159 113 70 69 89 84 51 105 80 109 118 124 145 149 90 88 98
"TCP11L1" 8 15 8 9 12 14 14 22 18 11 10 17 6 8 21 10 7 4
"TCP11X2" 2 6 2 0 5 7 3 0 3 2 2 4 3 2 1 3 3 2
"TCTA" 4 8 3 6 2 1 4 2 9 3 2 7 3 4 3 5 3 6
"TCTE1" 0 1 4 8 11 4 0 0 0 0 0 1 0 0 0 1 2 2
"TCTE3" 99 118 110 99 101 66 58 77 64 42 53 54 70 61 120 99 103 112
"TCTEX1D1" 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"TCTEX1D2" 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 2 0 1
"TCTEX1D4" 0 2 1 8 26 12 0 0 1 1 0 2 3 1 2 2 0 0
"TCTN1" 266 427 333 67 73 95 347 229 317 265 305 349 21 30 29 17 23 26
"TCTN2" 3 4 4 6 1 1 0 2 2 0 0 2 2 1 1 2 0 2
"TCTN3" 1 3 8 10 12 9 6 7 1 5 6 7 4 4 4 2 3 8
"TDG" 1135 1487 1160 359 379 412 787 671 823 725 711 729 919 961 1026 634 679 648
"TDH" 0 0 1 2 3 1 0 0 0 0 2 0 0 0 0 1 0 0
"TDO2" 242 406 302 245 259 285 326 281 341 279 311 370 443 418 489 308 364 357
"TDP1" 4 8 9 8 5 6 2 0 2 1 3 0 0 5 8 8 2 7
"TDP2" 2 1 1 2 3 0 0 0 0 2 2 0 1 1 1 0 1 1
"TDRD1" 26 24 43 50 60 52 46 40 33 43 48 41 49 61 25 49 63 78
"TDRD12" 1 0 0 3 2 0 0 2 1 0 1 2 0 0 0 0 1 0
"TDRD15" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TDRD3" 4 8 7 10 8 5 0 2 0 0 1 2 2 4 4 7 4 5
"TDRD5" 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"TDRD6" 9 16 12 4 4 10 8 15 5 5 15 10 4 3 10 6 6 5
"TDRD7" 0 0 2 2 0 2 0 2 1 0 0 0 0 2 0 1 1 2
"TDRD9" 0 0 1 1 1 0 1 0 1 0 0 1 0 0 1 0 0 1
"TDRKH" 4 2 2 9 9 15 6 1 6 1 2 0 8 6 2 3 3 3
"TDRP" 8 8 12 4 8 13 13 17 11 13 8 20 6 3 6 5 6 6
"TEAD1" 20 28 37 13 25 23 13 5 10 10 15 13 25 23 16 23 20 28
"TEAD3" 1 1 3 3 2 6 2 0 0 1 0 1 3 2 2 2 1 4
"TEAD4" 14 16 16 10 7 7 14 6 8 7 12 5 8 3 5 3 6 6
"TEC" 2 0 4 4 1 0 0 0 0 0 0 0 0 2 1 1 0 1
"TECPR1" 20 11 31 92 62 99 19 17 21 17 8 16 34 31 32 29 22 38
"TECPR2" 2 0 4 0 3 2 2 0 0 0 0 4 0 1 2 0 5 1
"TECRL" 0 0 3 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0
"TECTA" 2 9 12 9 10 11 11 5 14 8 7 15 8 16 20 6 10 10
"TECTB" 3 3 3 14 7 8 3 6 3 1 4 3 1 0 0 0 1 5
"TEDC1" 1 1 1 5 13 4 1 1 4 2 4 2 1 0 2 2 3 4
"TEF" 6 1 11 7 12 14 11 7 9 12 12 10 12 15 8 13 15 21
"TEK" 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0
"TEKT1" 174 360 210 69 85 77 330 339 365 345 345 343 147 167 181 75 93 85
"TEKT2" 7 3 9 5 4 5 3 7 5 5 11 7 5 3 7 1 3 11
"TEKT3" 1 3 3 0 2 4 2 1 2 3 2 4 0 2 5 4 2 7
"TEKT5" 4 5 7 13 8 10 1 1 8 5 3 5 20 7 19 7 7 16
"TELO2" 65 82 63 63 101 78 35 32 44 29 49 38 95 87 99 78 82 84
"TEN1" 7 15 1 1 6 2 28 24 17 22 24 27 13 7 16 0 5 2
"TENM1" 0 2 5 27 21 13 0 2 3 1 0 2 0 1 2 2 0 3
"TENM2" 0 1 5 5 10 5 0 0 1 0 0 0 5 4 5 7 1 10
"TENM3" 45 62 40 32 33 38 72 104 88 80 72 84 23 18 37 22 22 32
"TENM4" 1 0 9 3 4 1 0 0 0 0 0 0 0 2 0 3 0 0
"TEP1" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TEPSIN" 5 7 13 6 6 6 6 6 2 7 6 5 6 8 7 10 9 13
"TERB1" 0 0 0 35 16 28 0 0 0 0 0 0 1 4 0 1 7 3
"TERB2" 75 78 93 93 119 93 54 54 54 38 48 54 44 51 69 98 79 102
"TERC" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TERF1" 0 2 1 3 1 2 1 0 0 2 0 1 0 0 0 0 1 0
"TERF2" 8 16 12 26 29 18 3 3 7 6 8 7 3 15 9 5 9 13
"TERF2IP" 3 3 9 12 8 17 8 4 6 7 8 5 5 8 7 7 16 7
"TERT" 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"TES" 6 14 17 21 20 14 34 32 31 28 27 57 12 10 20 19 24 15
"TESC" 3 5 4 3 9 4 7 0 5 5 2 1 7 6 6 2 0 2
"TESK1" 0 0 4 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1
"TESK2" 46 81 65 155 148 156 92 122 117 107 110 126 79 94 83 104 129 132
"TESMIN" 194 343 283 232 279 290 368 347 364 327 394 435 314 313 355 337 290 310
"TESPA1" 1 0 0 2 4 2 0 2 1 0 0 0 0 0 0 0 1 0
"TET1" 106 135 123 59 94 94 39 39 48 35 46 57 65 65 69 55 72 79
"TET2" 10 13 12 52 46 52 19 21 20 13 14 17 23 11 15 11 9 16
"TET3" 0 1 11 10 8 12 5 4 8 3 3 5 8 5 4 7 6 0
"TEX10" 47 61 80 96 85 103 61 69 47 60 65 61 68 64 70 50 63 74
"TEX11" 150 251 252 128 151 139 211 112 218 243 203 246 168 204 186 143 127 146
"TEX12" 44 65 64 49 60 75 92 41 80 59 103 91 126 89 71 57 76 76
"TEX14" 2 5 0 10 13 11 0 2 1 0 2 1 3 3 3 0 3 0
"TEX2" 284 397 274 293 315 305 279 282 272 200 228 279 163 192 310 221 221 235
"TEX264" 4 8 10 6 4 7 5 4 7 4 5 1 4 6 6 4 2 6
"TEX2L" 2 2 2 8 5 8 0 2 0 0 0 0 0 0 1 0 5 1
"TEX30" 4 4 1 2 2 1 2 7 5 2 3 2 4 4 4 2 2 1
"TEX33" 0 0 0 0 1 0 0 0 0 0 0 0 3 0 2 0 0 1
"TEX36" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TEX9" 56 105 62 94 96 82 133 141 96 74 88 92 84 71 129 88 66 105
"TF" 0 0 1 3 0 1 0 0 0 0 0 0 0 0 0 2 0 0
"TFAM" 6 10 3 3 5 9 1 2 2 5 1 4 2 2 6 5 1 5
"TFAP2A" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TFAP2B" 2 1 2 5 4 2 1 0 0 0 3 0 2 1 0 0 0 0
"TFAP2C" 1 1 8 3 4 8 0 0 0 0 1 0 2 8 4 2 7 6
"TFAP2D" 0 0 1 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"TFAP2E" 7 7 8 11 8 4 4 8 8 7 2 4 8 6 12 5 1 8
"TFAP4" 4 5 5 3 7 13 3 0 5 1 1 1 2 0 2 4 5 3
"TFB1M" 60 88 51 44 48 51 71 57 95 74 79 93 106 79 108 112 112 83
"TFB2M" 0 1 0 2 0 2 0 0 0 0 4 4 0 0 0 0 1 1
"TFCP2" 2 3 7 6 0 4 4 2 0 3 3 4 2 1 1 2 2 0
"TFCP2L1" 0 1 1 1 0 0 0 0 0 1 0 1 0 0 5 1 0 0
"TFDP2" 13 17 27 21 26 25 25 34 28 25 15 29 23 17 29 9 13 15
"TFDP3" 5 8 7 11 13 5 2 4 2 5 2 6 5 2 6 7 9 13
"TFEB" 2 3 3 5 2 5 0 0 0 0 0 0 3 1 0 1 3 4
"TFEC" 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TFF3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TFG" 4 1 6 2 4 3 2 1 3 4 1 3 8 5 3 1 4 3
"TFIP11" 429 588 453 265 261 300 289 193 321 321 296 323 462 543 515 446 415 487
"TFPI" 18 33 28 12 26 38 17 18 21 16 30 40 11 10 22 18 26 40
"TFPI2" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TFRC" 3 6 2 8 4 8 9 2 6 4 10 9 6 17 3 4 1 3
"TG" 27 67 25 25 28 32 266 341 270 240 266 289 17 15 29 10 15 10
"TGDS" 1 1 1 0 1 6 0 0 1 1 0 2 1 0 0 2 1 1
"TGFA" 3 2 0 3 0 2 0 0 0 0 0 0 0 0 0 2 0 0
"TGFB1" 6 13 5 17 21 11 10 7 10 12 19 16 9 8 10 11 13 10
"TGFB2" 0 0 3 4 4 2 1 0 0 1 0 0 0 1 0 0 1 1
"TGFB3" 47 61 45 14 15 15 32 40 34 35 31 39 85 101 131 44 45 51
"TGFBI" 2 2 6 10 18 18 0 0 0 1 0 1 5 2 11 2 2 1
"TGFBR1" 10 6 11 9 13 8 4 6 3 4 3 3 9 14 9 6 4 10
"TGFBR2" 1 0 3 0 1 4 0 1 1 2 0 1 0 1 2 1 0 2
"TGFBR2L" 8 5 5 8 17 7 7 9 11 8 5 9 12 13 11 6 1 4
"TGFBR3" 3 17 12 5 4 5 4 6 5 3 2 2 1 2 2 0 2 0
"TGFBRAP1" 2 0 5 0 0 1 0 0 0 1 0 0 2 4 5 1 2 2
"TGIF1" 26 10 12 23 21 24 1 8 6 3 11 13 7 12 9 8 13 19
"TGIF2" 186 176 156 143 181 198 64 82 146 75 92 98 171 157 189 133 128 204
"TGM2" 30 53 45 73 62 53 31 50 65 43 56 38 36 42 80 46 44 62
"TGM3" 11 8 10 41 64 44 50 49 58 35 60 53 17 16 13 23 27 26
"TGM4" 2 3 4 4 4 0 3 5 4 1 3 3 1 1 3 2 1 1
"TGM6" 38 59 38 226 197 198 154 199 162 171 145 161 62 75 74 81 71 81
"TGOLN2" 20 42 12 25 18 17 59 27 59 57 75 67 44 42 29 48 32 37
"TGS1" 0 0 2 4 0 1 1 11 0 0 1 2 3 2 4 5 4 7
"TH" 20 31 20 8 7 8 8 13 9 4 10 3 6 2 13 4 5 8
"THADA" 25 47 25 25 23 29 34 26 32 18 29 28 25 31 32 16 13 30
"THAP1" 21 9 20 4 8 7 4 3 0 9 6 8 4 10 6 5 9 3
"THAP10" 0 2 4 3 1 0 0 0 0 0 0 0 1 0 1 1 0 1
"THAP11" 33 30 47 33 32 49 15 37 28 11 26 25 28 21 28 20 31 45
"THAP12" 920 1022 830 898 871 799 375 667 377 245 337 362 353 374 606 732 715 868
"THAP4" 10 10 13 9 2 10 9 14 15 6 7 9 7 3 6 8 10 13
"THAP5" 2 1 0 6 8 4 1 2 0 3 3 0 0 3 0 0 2 2
"THAP6" 1241 1433 1646 1508 1399 1242 711 665 706 689 838 814 525 596 628 837 887 1026
"THAP8" 5 3 3 6 6 6 3 2 8 1 1 1 6 4 5 1 3 16
"THBD" 63 35 58 58 84 108 56 27 58 29 72 80 15 20 14 25 40 47
"THBS1" 33 48 43 144 170 194 58 56 53 65 69 64 45 57 42 55 64 67
"THBS2" 3 0 0 4 3 5 0 2 0 0 1 0 2 0 1 1 1 0
"THBS4" 0 1 0 0 3 1 0 2 1 0 0 0 1 0 0 0 1 1
"THEM4" 1 2 3 0 6 3 3 4 1 1 0 0 2 0 5 4 3 3
"THEMIS" 1 1 1 0 2 2 0 0 1 0 0 1 0 1 1 0 1 4
"THEMIS2" 0 1 5 2 4 3 2 4 4 1 3 4 0 0 1 1 2 0
"THG1L" 5 8 1 5 6 8 1 4 0 0 1 1 1 0 3 1 2 1
"THL" 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"THNSL1" 2 0 2 0 0 0 0 1 2 0 2 0 0 0 0 1 0 0
"THNSL2" 2 1 2 2 2 0 1 0 0 1 1 1 2 0 1 0 1 0
"THOC1" 7 18 15 14 8 14 14 6 10 12 21 12 8 10 11 4 10 7
"THOC2" 3 6 2 19 14 13 5 7 0 0 1 5 3 5 7 9 8 11
"THOC3" 2 2 2 1 1 4 0 2 0 2 0 3 4 1 3 0 0 5
"THOC5" 5 2 5 10 5 6 2 0 8 0 1 2 2 3 4 5 2 7
"THOC7" 2 2 5 3 1 2 1 0 1 0 3 1 1 2 3 2 1 2
"THOP1" 0 5 4 2 4 5 3 2 1 4 2 4 10 6 3 5 3 7
"THPO" 19 37 24 24 26 36 19 19 41 21 25 26 17 16 17 16 23 39
"THRA" 18 13 15 10 12 11 12 6 16 7 11 13 6 5 11 12 3 9
"THRAP3" 402 640 478 67 88 75 463 336 418 393 464 496 414 428 464 337 276 275
"THRB" 178 196 153 598 647 661 53 59 55 36 44 64 80 80 98 181 214 278
"THRSP" 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"THRSPB" 1 1 0 0 1 3 1 0 3 1 0 1 0 0 0 1 0 3
"THSD1" 0 0 3 0 2 0 0 0 0 1 0 0 0 2 1 1 0 2
"THSD4" 2 0 4 9 8 8 0 0 0 0 0 0 2 0 4 2 2 0
"THSD7A" 0 0 5 0 3 3 1 0 0 0 0 0 7 5 10 9 3 4
"THSD7B" 0 1 7 18 18 8 0 2 1 1 0 0 2 3 2 4 1 7
"THT2L" 13 16 15 9 14 13 13 25 16 13 17 20 13 10 13 15 7 16
"THUMPD1" 1 4 2 1 5 2 1 4 1 1 1 3 2 2 1 3 4 2
"THUMPD2" 0 3 0 1 0 0 0 0 1 3 1 1 11 5 7 2 10 1
"THUMPD3" 2 6 6 10 4 13 6 1 3 2 1 3 1 2 5 1 8 6
"THY1" 84 106 153 11 35 28 195 78 175 111 226 219 198 289 200 95 112 142
"THYN1" 4 15 8 13 17 22 18 25 17 11 21 12 19 13 28 19 13 8
"TIA1" 2 1 4 6 4 3 1 3 2 2 3 2 1 1 1 0 1 4
"TIAL1" 10 13 13 11 14 12 7 2 2 5 10 6 3 5 4 10 7 7
"TIAM1" 1 0 5 3 0 2 1 0 0 0 0 1 1 2 2 0 0 3
"TIAM2" 335 584 468 232 245 252 376 319 277 284 284 339 446 477 547 340 344 349
"TICAM1" 23 34 30 37 49 52 32 48 20 37 32 34 23 12 25 21 15 23
"TICRR" 10 5 8 14 7 13 9 6 5 10 4 9 7 5 13 4 7 8
"TIE1" 337 400 370 120 121 113 325 366 378 252 304 317 210 208 345 239 213 259
"TIFA" 3 10 5 11 11 4 6 7 7 3 4 10 7 9 19 5 3 5
"TIGAR" 16 15 40 16 19 26 12 11 10 13 11 14 9 11 20 19 16 12
"TIGD5" 11 14 10 9 7 12 9 12 8 7 13 13 10 5 11 19 15 24
"TIMD4" 0 0 0 7 1 0 7 10 12 11 8 10 4 2 9 1 1 2
"TIMELESS" 5 7 8 47 39 43 6 3 14 4 7 3 5 3 9 6 3 12
"TIMM10" 15 17 14 11 5 10 10 11 12 11 11 16 6 7 13 9 9 9
"TIMM10B" 5 9 9 13 6 7 9 8 9 5 8 9 1 5 11 14 11 19
"TIMM13" 5 8 7 3 2 2 7 1 2 2 2 3 3 4 14 9 2 9
"TIMM17B" 173 256 283 155 159 162 212 108 161 156 165 201 254 243 259 185 188 147
"TIMM21" 10 13 7 7 6 5 1 4 3 9 9 4 6 5 5 1 4 1
"TIMM22" 1 2 4 10 6 6 1 1 5 6 3 3 1 0 1 3 1 1
"TIMM23B" 6 4 13 5 7 12 5 1 4 3 4 10 4 3 1 2 2 8
"TIMM44" 3 1 1 2 3 4 0 0 1 0 1 0 1 1 0 2 0 7
"TIMM8A" 4 7 10 0 5 2 10 4 3 2 3 5 6 8 7 4 6 3
"TIMM9" 29 44 33 32 34 48 39 48 38 39 36 51 70 70 84 77 59 101
"TIMMDC1" 1 3 1 2 5 2 1 0 2 0 2 0 2 2 1 1 1 3
"TIMP2" 65 56 93 42 58 48 77 46 84 43 84 80 44 66 57 56 48 98
"TIMP3" 5 5 5 77 94 101 5 4 4 7 5 11 9 2 7 17 18 19
"TIMP4" 0 2 2 1 0 1 1 1 1 0 3 2 4 4 5 3 2 1
"TINAG" 0 0 0 0 0 0 0 0 0 0 0 1 4 4 2 3 2 0
"TINAGL1" 0 1 2 6 9 6 0 1 1 0 2 0 1 1 1 1 0 2
"TIPARP" 27 27 43 52 72 69 36 28 28 33 31 41 139 171 100 53 51 47
"TIPIN" 5 29 8 9 12 11 12 12 11 4 3 8 10 6 12 11 3 13
"TIPRL" 1 0 7 2 2 2 0 0 1 0 0 3 0 0 1 3 2 0
"TIRAP" 6 6 8 12 9 8 18 7 20 10 14 13 8 9 6 7 1 2
"TJAP1" 1 3 2 5 5 2 0 0 1 1 0 0 3 1 1 3 1 2
"TJP1" 7 7 12 12 5 8 3 5 9 1 2 5 2 4 5 3 3 6
"TJP2" 0 6 5 8 20 16 3 2 3 0 2 2 0 1 1 0 0 1
"TJP3" 9 15 18 35 30 27 15 15 15 9 10 9 8 11 22 16 13 9
"TK1" 8 18 5 16 19 15 11 18 20 14 18 6 9 8 9 9 12 20
"TK2" 635 825 856 304 281 324 318 219 318 306 362 353 405 480 431 366 403 391
"TKFC" 6 8 10 10 14 15 5 5 4 2 5 7 2 3 10 7 4 6
"TKTL1" 4 6 8 15 12 33 6 5 0 1 3 0 2 5 5 1 3 4
"TLCD1" 9 5 4 6 15 14 4 3 1 5 4 7 8 6 6 1 3 6
"TLCD2" 12 17 5 21 21 24 2 3 10 6 3 7 6 6 6 3 3 4
"TLCD3B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TLCD4" 1 0 1 2 1 2 1 1 0 0 0 0 2 0 0 1 2 1
"TLDC1" 1 0 6 2 3 2 0 0 0 0 0 0 2 1 0 0 1 0
"TLDC2" 335 462 422 1893 1996 2048 301 271 339 266 301 348 437 442 453 917 922 1075
"TLE1" 2 0 2 1 0 0 0 0 3 0 0 0 0 0 0 0 1 0
"TLE3" 10 3 12 9 7 3 10 10 6 8 14 18 6 12 13 6 6 15
"TLE4" 0 2 0 2 1 1 1 0 0 0 0 0 0 1 2 0 0 0
"TLK1" 270 349 286 148 153 160 334 369 328 315 329 382 379 385 357 247 271 266
"TLK2" 5 5 4 43 40 50 8 10 6 4 3 5 65 83 74 43 35 47
"TLL1" 10 13 16 7 1 2 2 1 2 1 6 2 4 6 6 6 9 13
"TLL2" 0 0 2 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"TLN1" 229 241 295 267 291 334 229 121 266 241 251 283 207 281 198 264 274 365
"TLN2" 15 8 12 11 12 17 6 1 1 2 5 3 2 3 7 10 1 7
"TLR15" 1 1 1 1 2 0 0 2 0 0 0 0 0 0 0 1 0 1
"TLR1A" 0 0 0 0 2 1 0 0 0 0 0 0 2 4 5 1 1 1
"TLR1B" 1 2 0 1 3 1 0 0 0 2 0 0 3 1 1 0 0 1
"TLR2" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TLR21" 18 32 39 172 225 170 31 34 22 20 23 25 22 23 25 29 17 23
"TLR2A" 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"TLR3" 0 0 1 5 2 1 1 0 0 0 0 3 0 0 1 0 1 0
"TLR4" 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0
"TLR5" 52 49 48 74 57 63 30 54 32 27 36 32 33 30 62 77 56 82
"TLR7" 0 1 4 2 1 1 0 0 0 0 0 1 0 0 0 0 0 0
"TLX1" 0 0 1 2 1 2 0 1 0 0 0 0 0 0 0 0 0 0
"TLX2" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TM2D1" 1 2 1 7 7 11 2 4 3 3 1 1 3 0 5 2 3 7
"TM2D2" 2 5 6 5 8 1 2 3 1 0 1 0 2 4 0 2 3 4
