"D_DF1_sample-1" "D_DF1_sample-2" "D_DF1_sample-3" "D_DF1-I_sample-1" "D_DF1-I_sample-2" "D_DF1-I_sample-3" "D_DF1-P_sample-1" "D_DF1-P_sample-2" "D_DF1-P_sample-3" "D_DF1-P-I_sample-1" "D_DF1-P-I_sample-2" "D_DF1-P-I_sample-3" "D_DF1-PC_sample-1" "D_DF1-PC_sample-2" "D_DF1-PC_sample-3" "D_DF1-PC-I_sample-1" "D_DF1-PC-I_sample-2" "D_DF1-PC-I_sample-3"
"ACP2" 77 104 76 36 29 43 112 136 133 84 91 103 87 72 117 67 73 84
"ACP5" 94 74 95 36 46 49 38 32 42 31 30 42 33 42 43 41 22 45
"ACP6" 7 7 11 3 5 4 1 9 1 7 2 6 7 5 4 1 2 11
"ACPP" 0 7 2 8 6 3 1 5 2 3 3 0 0 1 1 1 1 6
"ACR" 2 5 5 8 6 6 3 6 1 2 4 6 4 0 6 3 3 4
"ACRBP" 4 0 1 0 2 1 0 2 0 0 0 0 1 0 0 0 0 0
"ACRL" 0 1 1 2 1 1 0 3 4 1 1 2 0 0 3 0 1 2
"ACSBG1" 2690 3772 2750 1954 2208 2405 2777 2338 2822 2383 2607 3105 2630 2607 3237 3807 3911 3803
"ACSBG2" 13 31 17 5 7 16 10 12 17 7 9 18 17 12 19 14 13 13
"ACSF2" 9 7 4 7 9 3 4 4 5 5 6 8 1 3 4 3 4 3
"ACSF3" 0 0 0 3 0 3 0 2 1 2 0 0 2 0 1 1 0 0
"ACSL1" 0 4 6 18 17 12 0 3 2 0 1 1 3 2 1 5 6 5
"ACSL3" 2 1 5 2 5 4 0 1 0 0 2 1 1 3 3 0 1 1
"ACSL4" 103 163 132 46 79 82 115 207 133 120 146 140 118 127 148 70 64 95
"ACSL5" 6 5 11 45 39 39 13 1 8 8 5 7 9 6 7 6 5 5
"ACSL6" 0 2 3 7 9 3 8 1 3 8 8 0 5 10 8 10 12 5
"ACSM3" 2 4 5 7 10 7 5 5 7 5 2 5 8 4 5 8 4 9
"ACSM4" 0 0 1 3 3 2 0 0 0 0 0 0 0 0 2 0 0 0
"ACSM5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0
"ACSS1A" 12 13 11 15 5 9 9 4 14 9 11 19 14 20 15 6 8 14
"ACSS1B" 24 19 18 13 17 11 32 15 12 16 19 33 20 15 16 18 10 13
"ACSS2" 14 18 23 12 15 11 28 15 22 20 26 19 22 22 24 20 12 12
"ACSS3" 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 2 0 0
"ACTA1" 3 2 3 1 1 0 4 4 5 3 6 0 2 2 1 1 0 0
"ACTA2" 53 81 58 95 94 121 24 37 24 39 34 32 48 35 54 53 41 26
"ACTB" 24 28 23 9 12 19 20 12 23 12 19 23 17 30 18 18 18 26
"ACTBL2" 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACTC1" 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
"ACTG1" 17 8 13 70 74 49 0 2 6 2 8 2 7 5 7 12 16 11
"ACTG2" 1 8 8 7 9 4 0 7 0 1 2 3 6 3 11 4 0 2
"ACTL6A" 0 4 0 6 6 6 6 4 1 9 6 5 4 1 5 8 3 0
"ACTL9" 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACTN1" 10 19 18 27 22 18 22 17 24 16 28 18 29 41 29 10 27 10
"ACTN2" 0 0 3 0 0 2 0 1 0 0 0 0 1 0 1 3 1 0
"ACTN4" 7 8 7 4 5 11 15 5 24 11 14 9 10 9 7 3 4 9
"ACTR10" 0 1 7 2 1 2 4 6 5 4 6 3 2 3 2 2 2 0
"ACTR10L" 0 1 3 0 1 1 4 0 1 0 0 2 0 0 1 2 0 0
"ACTR1A" 23 43 24 32 34 37 17 30 31 21 24 29 22 24 21 15 18 24
"ACTR2" 5 8 3 4 9 7 7 14 7 3 8 8 0 2 3 3 1 8
"ACTR3" 29 54 32 36 30 38 17 12 20 22 23 21 30 32 35 41 39 32
"ACTR3B" 180 250 239 164 171 180 156 142 171 133 116 108 206 162 254 184 200 221
"ACTR5" 0 2 6 2 2 7 2 1 2 0 2 1 2 6 3 5 4 3
"ACTR6" 32 25 40 33 35 25 22 20 15 10 12 18 15 26 28 27 30 39
"ACTR8" 9 7 11 66 37 41 3 7 2 3 3 1 8 6 6 8 11 6
"ACTRT2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACVR1B" 0 4 7 11 5 1 1 0 0 1 0 1 12 11 18 10 7 2
"ACVR1C" 4 4 7 7 4 1 9 3 8 6 6 7 12 8 9 6 4 5
"ACVR2A" 22 20 40 29 33 35 30 28 31 23 29 32 25 27 23 25 16 17
"ACVR2B" 0 0 6 5 3 0 1 2 4 1 0 0 1 0 0 0 0 1
"ACVRL1" 0 1 0 2 6 0 0 0 0 0 0 0 0 0 0 1 0 0
"ACY1" 1 0 3 1 1 2 0 2 2 0 0 4 2 3 1 3 1 2
"ACYP1" 1 0 0 3 3 2 0 0 0 0 0 0 0 1 1 1 1 0
"ACYP2" 3 2 1 1 0 2 1 4 0 1 3 0 0 0 0 0 3 2
"ADA" 40 54 46 20 21 27 127 127 123 108 131 157 81 109 138 60 72 85
"ADAL" 0 0 1 11 10 4 0 0 0 0 1 1 1 0 0 0 0 0
